id_recette,url,titre,categorie_principale,sous_categorie,temps_cuisson,temps_total,nombre_personnes,ingredients,instructions,est_laitier,symptomes_contre_indiques,teneur_en_polyphenols
112,https://www.choumicha.ma/recette/1421-trio-de-fromage-frais-aux-legumes.html,Trio de fromage frais aux légumes,Saveurs du maroc,Plats principaux,30m,1h,6,Pour le fromage frais a l’argan et tomates cerise : | 320 g de fromage frais | 4 c. à café d’huile d’argan | Pour les tomates cerise : | 80 g d’oignon nouveau | 250 g de tomates cerise | 4 c. à café d’huile d’argan | Sel et poivre | Pour le fromage frais à l’argan et aubergines au basilic : | 320 g de fromage frais | 4 c. à café d’huile d’argan | Pour les aubergines : | 4 aubergines moyennes | 4 c. à soupe d’huile d’olive | 4 c. à soupe d’huile de table | Sel | Poivre | Pour le coulis de basilic : | 1 botte de basilic | 10 cl d’huile de table | Sel et poivre (selon le goût) | Pour le fromage frais à la betterave : | 320 g de fromage frais | 4 c. à café d’huile d’argan | Pour la betterave : | 500 g de betteraves de petit calibre (plus goûteuses) | 2 c. à soupe de jus de citron | 8 cl  de jus d’orange | Sel et poivre (selon goût) | 80 g d’échalote émincée hachées finement | Quelques feuilles de persil émincées,"Préparation | Fromage frais a l’argan et tomates cerise : | Mélanger le fromage avec 4 c. à café d’huile d’argan et le réserver au frais. | Ciseler l’oignon, couper les tomates cerise en deux et mélanger le tout avec l’huile d’argan. | Ajouter le sel et le poivre. | Disposer les tomates dans des verrines et recouvrir de fromage frais. | Fromage frais à l’argan et aubergines au basilic : | Mélanger le fromage frais avec l’huile d’argan et le réserver au frais. | Tailler les aubergines en petits dés, les saler et les laisser dégorger leur eau de végétation. | Rincer les dés d’aubergines et les éponger. | Chauffer les deux huiles dans une poêle et y faire dorer les dés d’aubergines. | Égoutter les dés d’aubergines sur du papier absorbant, saler et poivrer. | Pour préparer le coulis de basilic, blanchir dans une eau salée bouillante, la botte de basilic pendant 10 secondes, refroidir dans une eau glacée, sécher le basilic et le mixer avec l’huile de table, le sel et le poivre. | Ajouter le coulis de basilic aux aubergines. | Disposer les aubergines dans des verrines et les recouvrir de fromage frais. | Fromage frais à la betterave : | Mélanger le fromage frais avec l’huile d’argan et le réserver au frais. | Laver les betteraves et les cuire avec la peau dans de l’eau. | Égoutter les betteraves, les peler et les râper finement. | Mélanger la betterave râpée avec les jus d’orange et de citron, l’échalote émincée, le persil le sel et le poivre. | Goûter et rectifier l’assaisonnement. | Disposer la betterave dans les verrines et la recouvrir de fromage frais.",False,1|2|3|6,1811.29
113,https://www.choumicha.ma/recette/19-paves-de-saumon-a-la-marocaine-et-son-trio-de-salades.html,Pavés de saumon à la marocaine et son trio de salades,Saveurs du maroc,Salades,40m,1h 10m,4,Pour le saumon : | 4 pavés de saumon de 160 g chacun | 1 c. à soupe de persil et de coriandre émincés | 1 c. à soupe de harissa douce ou piquante selon le goût | 1 c. à soupe de vinaigre | 1 c. à café de sel | 2 c. à soupe d'eau | 4 pincées de cumin | 2 c. à soupe d'huile d'ail* | Pour la salade de petites pommes de terre : | 200 g de petites pommes de terre | 1 petit oignon blanc émincé | 1 c. à café de poivre vert | 1/2 c. à café de sel | 2 c. à soupe de vinaigre | 2 c. à soupe d'huile | Feuilles de persil émincées | Sel | Salade de poivron : | 1/2 poivron rouge grillé pelé et épépiné | 1/2 poivron jaune grillé pelé et épépiné | 1/2 poivron vert grillé pelé et épépiné | 1 oignon blanc émincé | 4 c. à soupe d'huile | 2 c. à soupe de vinaigre | 1 c. à soupe de sucre semoule | 3 brins de thym | 1 feuille de laurier | Sel | Salade d'aubergine au yaourt : | La pulpe de 3 aubergines grillées | 2 pincées de poudre d'ail | 1/2 c. à café de sel | 1 c. à soupe d'huile | 1 pot de yaourt nature | 1 c. à soupe de persil émincé,"Préparation | Les pavés de saumon : dans un plat creux, mélanger tous les ingrédients de la marinade. Y faire mariner les pavés de saumon le temps de préparer les salades. | La salade de petites pommes de terre : cuire les petites pommes de terre dans de l'eau bouillante, les peler et les couper en deux. Dans un bol, déposer la pomme de terre et lui ajouter le poivre vert écrasé, l'oignon émincé, le sel, le vinaigre, l'huile et les feuilles de persil émincées. Mélanger délicatement et réserver au frais. | La salade de poivrons : dans une casserole sur feu doux, faire revenir les oignons émincés dans l'huile pendant 5mn. Ajouter le sel, le vinaigre, les poivrons coupés en lanières, le thym, le laurier et le sucre. Couvrir et laisser compoter à couvert et sur feu doux pendant 15 à 20mn en remuant de temps en temps. | Les aubergines au yaourt : hacher finement la chaire d'aubergines grillées, la faire revenir dans une poêle avec l'huile, la poudre d'ail et le sel pendant 5mn. La retirer du feu et la mélanger avec le persil émincé et le yaourt. Réserver au frais. | Dans une poêle anti-adésive chaude, déposer les pavés de saumon coté peau contre la poêle et les laisser cuire 1 à 2mn. Retourner les pavés de saumon et continuer la cuisson pendant 2mn. | Servir les pavés de saumon accompagnés des trois salades. | *Emincer 3 gousses d'ail, les placer dans un bol contenant 15cl d'huile. Laisser macérer l'ail pendant 6h, filtrer et réserver l'huile parfumée à l'ail dans un bocal.",True,1|2|3|5|6,54.85
114,https://www.choumicha.ma/recette/1095-sardines-en-verrines-tricolores.html,Sardines en verrines tricolores,Saveurs du maroc,Plats principaux,15m,30m,1,24 filets de sardine | 100 g d’olives vertes dénoyautées | 100 g d’olives noires dénoyautées | 2 poivrons rouges | ½ oignon nouveau | 1 échalote | 1 gousse d’ail | 1 citron | 1 c. à café de pâte de piment Harissa | Brins de thym | Feuilles de persil | Huile d’olive | Sel | Poivre | Cumin | Piment rouge | Pour servir : | Tranches de pain grillées,"Préparation | Sardines aux olives noires : | Cuire 8 filets de sardine au four préchauffé à 170°C pendant 5 mn. | Hacher grossièrement 100 g d’olives noires dénoyautées et ½ oignon nouveau. | Dans un bol, mélanger les trois ingrédients, ajouter un filet de jus de citron, 3 c. à soupe d’huile d’olive, un peu de thym frais, ½ c. à café de cumin et ½ c. à café de piment fort. | Dresser dans des verrines, ou servir sur des tranches de pain grillées ou en sandwich avec des tranches de tomate. | Sardines aux poivrons rouges : | Griller les poivrons rouges, les peler, les épépiner et les hacher grossièrement. | Cuire 8 filets de sardine au four préchauffé à 170°C pendant 5 mn. | Dans un récipient, mélanger les poivrons avec les filets de sardine émiettés, 3 c. à soupe d’huile d’olives, 1 filet de jus de citron, des feuilles de persil émincées, 1 gousse d’ail émincé et 1 c. à café de sel. | Dresser dans des verrines, ou servir sur des tranches de pain ou en sandwich avec des rondelles d’aubergine frites. | Sardines aux olives vertes : | Cuire 8 filets de sardine au four préchauffé à 170°C pendant 5 mn. | Hacher grossièrement 100 g d’olives vertes dénoyautées et 1 échalote. | Dans un bol, mélanger tous les ingrédients et ajouter 1 c. à café de Harissa et quelques feuilles de persil émincées. | Dresser dans des verrines, ou servir sur des tranches de pain grillées. | Bon à savoir : | vous pouvez remplacer les filets de sardine fraîche par des filets de sardine en boîte.",False,1|2|3|6,1489.52
115,https://www.choumicha.ma/recette/1267-boulettes-de-sardines-panees-farcies-aux-crevettes.html,Boulettes de sardines panées farcies aux crevettes,Saveurs du maroc,Poissons et crustacés,20m,1h,6,Pour le hachis de sardine : | 750 g de filets de sardines | 2 gousses d’ail | 2 c. à soupe d’oignon émincé | 2 c. à soupe de coriandre et de persil émincés | 1 c. à thé de sel | 1 c. à thé de piment rouge doux | 1 c. à thé de cumin | 1 c. à café de zeste de citron | Pour la farce : | 150 g de crevettes décortiquées | 2 pincées de sel | 2 pincées de poivre | Pour la panure : | 50 g de farine | 2 œufs battus | 100 g de chapelure blanche | Un bain d’huile pour la friture,"Préparation | Dans un bol, mélanger les filets de sardines avec les épices, les herbes, l’ail, l’oignon et le zeste de citron. | Passer tous les ingrédients au hachoir pour obtenir un hachis homogène. | Découper les crevettes en morceaux, les saler et les poivrer. | Confectionner des boulettes de taille moyenne avec le hachis de sardines et les farcir avec un peu de crevettes. | Rouler les boulettes de sardine dans la farine, les tremper dans l’œuf puis les passer dans la mie de pain. | Frire les boulettes de sardines dans un bain d’huile chaude jusqu’à ce qu’elles prennent une belle couleur dorée. | Égoutter les boulettes de sardine et les servir chaudes accompagnées d’une sauce tomate ou de ketchup.",False,1|2|3|4|6,200.65
116,https://www.choumicha.ma/recette/1411-pulpe-de-tomate-en-conserve.html,Pulpe de tomate en conserve,Saveurs du maroc,Plats principaux,0m,0m,1,3 kg de belles tomates charnues | 1 c. à thé de sel,"Préparation | Laver les tomates, ôter le pédoncule, les couper en deux et les épépiner. | Déposer dans une marmite sur feu très doux, saler et laisser cuire à couvert pendant 25 à 30 mn. | Verser la tomate ainsi préparée dans des bocaux stérilisés et les refermer. | Les placer dans une marmite dont le fond est tapissé d’un torchon, les recouvrir d’eau et les faire stériliser sur feu doux pendant 45 mn. | Laisser refroidir les bocaux avant de les ranger. | Bon à savoir : | Quand vous possédez des tomates en grande quantité, n’hésitez pas à les préparer de cette manière pour pouvoir les conserver plus longtemps et avoir sous la main de la pulpe de tomates à utiliser dans les tajines, les soupes et les sauces.",False,2|4,680.46
117,https://www.choumicha.ma/recette/467-brochettes-de-kefta-et-sa-salade-marocaine.html,Brochettes de Kefta et sa salade marocaine,Saveurs du maroc,Salades,15m,30m,4,500 g de viande hachée de veau | 1 c. à thé bombée d'épices Dar CHOUMICHA Liqama Harra | 2 c. à soupe d'oignon râpé | Sel | Pour la salade : | 4 tomates concassées | 1 oignon émincé | 1 poivron vert coupé en petits morceaux | Feuilles de persil émincées | Un filet d'huile d'olive | Un filet de vinaigre ou de jus de citron | Sel,"Préparation | Dans un bol, mélanger la viande hachée avec l'oignon, | les épices Dar CHOUMICHA Liqama Harra | et le sel. Laisser reposer au frais 30 mn. | Dans un récipient, mélanger les légumes de la salade et l'assaisonner. Fixer la viande hachée sur des brochettes et les griller. | Servir les brochettes de Kefta accompagnées de salade de tomate à l'oignon et au poivron.",False,1|2|3|4|6,123.88
118,https://www.choumicha.ma/recette/721-club-sandwich-au-saumon-fume-et-au-fromage-de-chevre.html,Club sandwich au saumon fumé et au  fromage de chèvre,Saveurs du maroc,Plats principaux,0m,15m,2,4 tranches de pain de mie | 60 g de fromage de chèvre frais | 2 c. à café d’aneth émincé | Sel | Poivre noir | ½ concombre coupé en fines rondelles | 140 g de tranches de saumon fumé | Pour servir : | 60 g de salades variées | 80 g de tomates cocktail | Pour la vinaigrette : | 2 c. à soupe d’huile d’olive | 1 c. à soupe de vinaigre | Sel | Poivre noir,"Préparation | Travailler le fromage avec l’aneth, le sel et le poivre. | Tartiner les tranches de pain de mie de fromage à l’aneth, les garnir de rondelles de concombre et de tranches de saumon fumé. A l’aide d’un couteau, retirer la croûte des tranches de pain de mie. | Préparer une vinaigrette en mélangeant l’huile d’olive, le vinaigre, le sel et le poivre. | Couper chaque sandwich en deux, les servir accompagnés de salades et de tomates cocktail assaisonnées de vinaigrette. | Bon à savoir : | Le saumon fumé peut être remplacé par du saumon frais cuit et émietté. | Plonger une darne de saumon de 200 g dans de l’eau bouillante salée et citronnée pendant 6 à 8 mn. Egoutter, retirer la peau et les arêtes puis émietter la darne de saumon. L’écraser avec 2 c. à soupe d’huile d’olive et 2 pincées de poivre avant de l’utiliser.",False,1|2|3|5|6,630.78
119,https://www.choumicha.ma/recette/1352-gateau-au-chocolat-et-au-cafe.html,Gâteau au chocolat et au café,Saveurs du maroc,Desserts et pâtisseries,20m,1h 10m,12,Pour le biscuit génoise : | 4 œufs | 120 g de sucre semoule | 120 g de farine | ¼ de c. à café de sel | Pour le biscuit à la poudre de cacao (Génoise au chocolat) : | 2 œufs | 60 g de sucre semoule | 1/4 de c. à café de sel | 40 g de farine | 20 g de poudre de cacao | Pour la crème au beurre : | 2 œufs | 200 g de sucre en poudre | 10 cl d'eau | 2 c. à soupe de café corsé | 250 g de beurre ramolli | Pour le décor : | 250 g de ganache au chocolat noir | 200 g de chantilly | 100 g d'amandes effilées grillées | Pépites de chocolat | Poudre de cacao,"Préparation | Préparation de la crème au beurre : | Dans une casserole sur feu moyen, déposer le sucre et un fond d'eau puis porter à ébullition. | Cuire le sirop jusqu'à ce que des petites bulles se forment à la surface. Ajouter le café concentré et retirer du feu. | Placer les œufs dans un bol et les travailler au batteur en versant le sirop en filet jusqu'à ce que la préparation triple de volume. | Continuer à fouetter jusqu'à refroidissement puis incorporer le beurre progressivement pour avoir une crème homogène. | Préparation du biscuit génoise : | Dans un récipient, travailler les œufs avec le sucre et le sel au batteur électrique jusqu’à ce que le mélange blanchisse et double de volume. | Ajouter la farine en pluie tout en mélangeant délicatement avec une spatule, du bas vers le haut, pour obtenir une pâte aérée et sans grumeaux. | Étaler uniformément la pâte sur une plaque (de 30cmx40cm) tapissée de papier sulfurisé, et la faire cuire au four préchauffé à 170°C pendant 10 à 12 mn. | Laisser tiédir le biscuit génoise avant de retirer délicatement le papier sulfurisé. | Égaliser les bords du biscuit afin d’obtenir un rectangle parfait. | Préparation du biscuit génoise au chocolat : | Battre les œufs avec le sucre et le sel pendant 10 à 15 mn jusqu'à ce que la préparation blanchisse et double de volume. | Tamiser la farine avec la poudre de cacao et l'incorporer par petites quantités à la préparation œufs/sucre pour avoir une pâte homogène et aérée. | Verser la pâte dans un moule tapissé de papier sulfurisé. | Cuire au four préchauffé à 170°C pendant 10 à 12 mn. | Laisser tiédir le biscuit génoise avant de retirer délicatement le papier sulfurisé. | Montage du gâteau : | Détailler le biscuit génoise en trois. | Enduire les trois morceaux de biscuits de ganache et les rouler. | À l'aide d'un cercle, découper un biscuit rond de génoise au chocolat qui va constituer la base du gâteau. | Enduire le biscuit au chocolat de ganache et déposer dessus le roulé obtenu. | Décorer le gâteau avec la crème au beurre, la chantilly, les amandes effilées, les pépites de chocolat et la poudre de cacao (voir la vidéo).",False,1|2|3|4|5|6,937.46
120,https://www.choumicha.ma/recette/787-gateaux-glaces-au-fromage-et-a-la-nectarine.html,Gâteaux glacés au fromage et à la nectarine,Saveurs du maroc,Desserts et pâtisseries,0m,2h 45m,2,50 g de biscuits sablés moulus (Cliquez sur lien dans la préparation) | 30 g de beurre | 10 cl de crème fraîche montée en chantilly | 80 g de fromage crémeux | 2 nectarines coupées en petits dés | 2 c. à café de miel,"Préparation | Travailler les | sablés | moulus avec le beurre pour obtenir une pâte friable. | En tapisser des fonds de cercles de 6 cm de diamètre. Les laisser reposer 30 mn au réfrigérateur. | Fouetter le fromage pour le rendre lisse. Ajouter le miel, la nectarine et la chantilly en mélangeant délicatement à l’aide d’une spatule pour obtenir une préparation homogène. | Répartir la préparation au fromage et la nectarine dans les deux cercles et les placer au congélateur pendant 2 heures. | Démouler et servir les gâteaux garnis de fruits.",True,1|3|6,126.48
121,https://www.choumicha.ma/recette/1415-calamars-marines.html,Calamars marinés,Saveurs du maroc,Plats principaux,0m,20m,4,500 g calamars coupés en anneaux | 1/2 citron | 1 poivron rouge | 2 gousses d'ail | Feuilles de persil et de coriandre | 3 c. à soupe de vinaigre | 4 à 5 c. à soupe d'huile d'olive | Sel et poivre | Pour servir : | 4 brins de ciboulette,"Préparation | Dans une casserole sur feu vif, faire bouillir de l'eau salée avec le 1/2 citron. | Plonger les anneaux de calamars pendant 10 secondes environ dans l'eau bouillante et les égoutter. | Griller le poivron, le peler l'épépiner et le détailler en petits morceaux. | Couper les gousses d'ail en deux et les déposer dans un bol, rajouter le poivron, l'huile, le vinaigre, les épices, le persil et la coriandre. | Faire mariner les anneaux de calamars dans la préparation. | Couvrir le bol d'un film alimentaire et laisser mariner les calamars au frais pendant au moins 1 heure. | Servir la salade de calamars marinés froide parsemée de ciboulette émincée. | Bon à savoir : | ne laissez pas les calamars cuire longtemps ils deviendront caoutchouteux, pour cette recette, il faut les retirer de l'eau bouillante dès qu'ils se rétractent.",False,1|2|6,1035.52
122,https://www.choumicha.ma/recette/753-fagots-de-haricots-verts-au-saumon-fume.html,Fagots de haricots verts au saumon fumé,Saveurs du maroc,Plats principaux,5m,15m,4,"350 g de haricots verts, fins et équeutés | 2 c. à soupe de jus de citron | 3 c. à soupe d’huile d’olive | 1 brin d’aneth émincé | ¼ d’oignon nouveau émincé | 200 g de tranches de saumon fumé | Sel","Préparation | Dans un bol, mélanger le jus de citron, l’huile d’olive, le sel, l’aneth et l’oignon nouveau. | Blanchir les haricots verts dans de l'eau salée, les égoutter et les placer dans de l'eau glacée pour stopper la cuisson. | Les égoutter et les mariner dans la vinaigrette. | Ranger les haricots par 8 et les rouler dans des bandelettes de saumon fumé. | Servir les fagots de haricots au saumon garnis de ciboulette.",False,1|2|3|6,64.97
123,https://www.choumicha.ma/recette/1167-coupe-fraicheur-aux-peches-et-a-lananas.html,Coupe fraîcheur aux pêches et à l’ananas,Saveurs du maroc,Plats principaux,0m,20m,4,1 boîte de pêches au sirop | 1 boîte d’ananas au sirop | 350 g de crème pâtissière (Cliquez sur lien dans la préparation) | 8 biscuits à la cuillère | 100 g d’amandes concassées grillées | 200 g de chantilly,"Préparation | Égoutter les pêches et l’ananas et réserver 5 cl de sirop de pêches et 5 cl de sirop d’ananas. | Couper les fruits en petits morceaux et alléger la | crème pâtissière | en lui incorporant les deux sirop de fruits et la réserver au frais. | Dans des coupes à dessert froides, placer une première couche de biscuits à la cuillère coupés en morceaux, les recouvrir de crème pâtissière et de fruits. | Saupoudrer les fruits d’amandes concassées et les décorer de chantilly. | Servir les coupes aussitôt.",False,1|2|6,194.89
124,https://www.choumicha.ma/recette/1410-tomate-mozzarella-et-avocat-au-basilic.html,"Tomate, mozzarella et avocat au basilic",Saveurs du maroc,Plats principaux,0m,30m,4,4 belles tomates | 2 boules de mozzarella | 2 avocats | Le jus d'un citron | 2 Bottes de basilic | 10 cl d’huile d’olive | 5 cl d’huile de tournesol | Sel et poivre,"Préparation | Pour l'huile de basilic : | Amener une eau salée à l’ébullition, tromper le basilic pendant 10 secondes puis le refroidir dans de l’eau glacée. | Égoutter, sécher puis mixer le basilic avec les deux huiles, le sel et le poivre. | Pour les tomates : | Couper les tomates en rondelles régulières. | Peler l’avocat, tailler la queue en rondelles et le reste en demi-lune puis l’arroser de jus de citron. | Détailler la mozzarella en rondelles. | Monter des millefeuilles de tomates, d'avocat et de mozzarella en assaisonnant avec l'huile de basilic. | Servir  bien frais.",False,1|2|6,16.82
125,https://www.choumicha.ma/recette/511-burgers-de-poulet-au-confit-d-oignon.html,Burgers de poulet au confit d'oignon,Saveurs du maroc,Volailles,30m,30m,4,4 petits pains ronds | 400 g de viande hachée de poulet | 1/4 de gousse d'ail émincée | 1/2 oignon nouveau émincé | 4 brins de persil émincés | Sel et poivre | 1 petite botte de roquette | 1 poivron rouge | Huile pour friture | 3 c. à soupe de mayonnaise nature | 4 brins d'estragon émincés | Pour la compote d'oignon : | 3 oignons blancs émincés | 4 c. à soupe d'huile d'olive | 2 c. à soupe de vinaigre | 1 c. à thé de sucre semoule | Sel et poivre,"Préparation | Travailler la viande hachée de poulet avec les épices, l'ail et le persil émincé. En confectionner des steaks d’une épaisseur de 1cm et les réserver. | Cuire l’oignon, à couvert et à feu très doux, dans l’huile d’olive avec le sel, le vinaigre, le sucre semoule et le poivre pour avoir un confit d’oignon onctueux. | Frire le poivron rouge, le peler, l’épépiner et le détailler en fines lanières. | Cuire les steaks de poulet dans une poêle ou les faire griller sur une plaque. Mélanger la mayonnaise nature avec l’estragon émincé et en tartiner les pains à sandwichs. Monter les burgers en intercalant les feuilles de roquette, les lanières de poivron, le confit d'oignon et les steaks de poulet. | Bon à savoir : | vous pouvez servir le burger de poulet avec des beignets d'oignon.",False,1|2|4|6,97.31
126,https://www.choumicha.ma/recette/569-salade-de-legumes-confits-au-jambon-de-dinde-fume.html,Salade de légumes confits au jambon de dinde fumé,Saveurs du maroc,Volailles,45m,45m,4,2 tomates | 1 poivron rouge | 1 poivron vert | 1 aubergine | 1 courgette | 8 champignons de Paris | 12 billes de mozzarelle | 5 c. à soupe d'huile d’olive | 1 c. à soupe de sucre semoule | 2 c. à thé de sel | 150 g  de jambon de dinde fumée | Feuilles de salade | Pour le pistou : | 1 botte de basilic | 1 c. à soupe de poudre d’amandes | 10 cl d’huile d’olive extra vierge,"Préparation | Peler, épépiner et détailler les tomates en 4. Peler, épépiner et couper les poivrons en 4. Les saupoudrer de sel et de sucre et les laisser dégorger. | Enduire les tomates et les poivrons d’huile d’olive et les faire confire au four préchauffé à 140°C pendant 45 mn. | Trancher finement l’aubergine et la courgette dans le sens de longueur. Les enduire d’huile d’olive et les faire griller sur une plaque. | Griller les champignons de Paris. | Dresser les légumes grillés dans les assiettes, les garnir de billes de mozzarella, de lanières de jambon de dinde fumée et de feuilles de salade. Servir la salade avec le pistou. | Pour le pistou : | Blanchir les feuilles de basilic pendant 30 secondes dans de l’eau bouillante très salée. Les égoutter et les tremper aussitôt dans de l’eau glacée. Mixer les feuilles de basilic avec la poudre d’amande et l’huile d’olive.",False,1|2|4|5|6,37.55
127,https://www.choumicha.ma/recette/681-sorbet-de-fraises-au-basilic.html,Sorbet de fraises au basilic,Saveurs du maroc,Plats principaux,10m,20m,4,500 g de fraises coupées en morceaux | 4 c. à soupe de jus de citron | 150 g de sucre semoule | 15 cl d’eau | 10 feuilles de basilic | Pour le décor : | Des fraises coupées en morceaux de taille moyenne | Des framboises | Des feuilles de basilic,"Préparation | Emincer les feuilles de basilic et les faire infuser dans l’eau bouillante. Couvrir, laisser refroidir puis filtrer l’infusion de basilic. | Préparer un sirop avec l’infusion de basilic et le sucre et le laisser refroidir. | Placer les morceaux de fraises dans un mixeur, ajouter le jus de citron. Mixer puis mélanger au sirop froid. Faire prendre la préparation à la sorbetière. | Garnir de sorbet des cercles tapissés de papier sulfurisé et les placer au congélateur. Démouler et servir le sorbet avec les morceaux de fraises, décoré de framboises et de feuilles de basilic.",False,2|5|6,971.49
128,https://www.choumicha.ma/recette/1166-riz-au-poulet-et-aux-legumes.html,Riz au poulet et aux légumes,Saveurs du maroc,Volailles,30m,45m,4,400 g de blanc de poulet | 1 carotte coupée en petits cubes | 1 poivron rouge coupé en petits cubes | 200 g de petits pois | 1 oignon râpé | 1 gousse d’ail râpée | 8 cl d’huile d’olive | 200 g de riz | 65 cl de bouillon de poulet | 1 feuille de laurier | 1 petit bouquet de coriandre | 1 cm de gingembre frais râpé,"Préparation | Détailler le blanc de poulet en morceaux. Dans une poêle sur feu moyen, faire revenir pendant 1 mn les morceaux de poulet avec 2 c. à soupe d’huile d’olive. | Réserver les morceaux de poulet. | Dans la même poêle, faire revenir dans l’huile d’olive restante l’oignon, le gingembre frais et l’ail pendant 1 mn. | Ajouter le riz et continuer la cuisson en remuant jusqu’à ce que le riz devienne translucide. | Mouiller avec le bouillon de poulet et à ébullition ajouter la carotte, les petits pois, le poivron, les épices et les herbes aromatiques. | Couvrir et laisser cuire à feu doux pendant 12 mn. | Ajouter les morceaux de poulet et continuer la cuisson toujours à feu doux jusqu’à évaporation du liquide. | Retirer du feu et servir aussitôt. | Bon à savoir : | Pour varier les plaisirs, vous pouvez remplacer le poulet par des crevettes, des calamars ou du poisson blanc.",False,1|4|6,73.3
129,https://www.choumicha.ma/recette/211-douceurs-au-jben-et-au-yaourt-petits-croquants-aux-amandes.html,"Douceurs au jben et au yaourt, petits croquants aux amandes",Saveurs du maroc,Plats principaux,8m,25m,4,100 g de jben | 125 g de yaourt nature | 2 c. à soupe de miel de citronnier ou sucre semoule | 150 g de fruits de saison coupés en morceaux | Pour servir : | Feuilles de menthe | 80 g de fruits de saison coupés en morceaux réguliers | 8 framboises | Pour les croquants : | 75 g de farine | 40 g de beurre | 40 g de sucre glace | 2 c. à soupe d'eau de fleurs d’oranger | 20 g d'amandes concassées,"Préparation | Fouetter le jben avec le yaourt et le miel ou le sucre. | Déposer une couche de fruits dans les verrines et les recouvrir avec la préparation au jben. Filmer et réserver au réfrigérateur pendant 1 heure. | Travailler le beurre et la farine du bout des doigts pour avoir un mélange sablé. Ajouter le sucre glace, l’eau de fleurs d’oranger et les amandes. | Emietter la pâte sur une plaque tapissée de papier de cuisson et faire cuire au four préchauffé à 150°C pendant 8 mn. | Servir les verrines décorées de morceaux de fruits, de framboises et de feuilles de menthe et accompagnées de croquants aux amandes.",True,1|2|5|6,200.5
130,https://www.choumicha.ma/recette/251-moelleux-au-chocolat-et-soupe-de-peches.html,Moelleux au chocolat et soupe de pêches,Saveurs du maroc,Soupes et hariras,20m,55m,8,150 g de chocolat | 50 g de beurre | 5 oeufs | 150 g de sucre semoule | 20 g de maïzena | 20 g de farine | 1 pincée de sel | 2 gouttes d’extrait de vanille | Pour garnir : | 100 g de framboises | 20 g de poudre de cacao | Pour la soupe de pêche : | 1 kg de pêches | Jus d'un demi citron | 2 c. à soupe de miel de citronnier,"Préparation | Faire fondre le chocolat et le beurre au bain-marie. Fouetter les jaunes d’œufs avec le sucre jusqu’à ce que le mélange blanchisse. Incorporer le chocolat fondu et la farine tamisée avec la maïzena. Monter les blancs en neige avec la pincée de sel et les ajouter délicatement au mélange. | Verser la pâte dans un moule à manquer de 22 cm de diamètre beurré et fariné. Cuire au four préchauffé à 180°C pendant 20 mn. | Peler les pêches, mixer la moitié avec le miel, l’extrait de vanille et le jus de citron et détailler le reste en petits cubes. | Dans un bol, mélanger les cubes de pêches avec le coulis. Laisser refroidir le moelleux 15 mn avant de le démouler. | Trancher le moelleux et le servir accompagné de soupe de pêches et de framboises. | Bon à savoir : pour gagner du temps utilisez des pêches au sirop.",False,1|2|3|4|6,1096.92
131,https://www.choumicha.ma/recette/1395-salade-de-pommes-de-terre-aux-olives-et-aux-poivrons.html,Salade de pommes de terre aux olives et aux poivrons,Saveurs du maroc,Salades,30m,1h,4,400 g de petites pommes de terre | 1 poireau émincé | 1/2 poivron vert grillé et pelé | 1/2 poivron rouge grillé et pelé | 100 g d'olives vertes dénoyautées émincées | 1 c. à soupe de persil émincé | 5 c. à soupe d'huile de tournesol ou d'huile d'olive | 4 c. à soupe de vinaigre | Sel | Poivre,"Préparation | Cuire les petites pommes de terre dans de l'eau salée, les égoutter, les peler et les couper en deux. | Dans un bol, déposer les poivrons grillés coupés en lanières, les olives vertes, les épices, le persil, le poireau, l'huile et le vinaigre. | Mélanger tous les ingrédients puis rajouter les pommes de terre. | Laisser reposer la salade 15 mn avant de la servir.",False,1|2|6,233.03
